Now: 20/12/2023 15:40:44
Battery Level: 1.5V
MiniCTD: S/N 58934
Site info: 2023_SAMAO_19DIC
Calibrated: 22/02/2017
Latitude: 21.361392
Mode: M1
Tare: 9.2214
Pressure units: dBar
time	Pressure	Temperature	Conductivity	Salinity	Density
2023-12-20 16:07:15	0.605	25.274	1.601	0.8006017567484737	997.5833645977156
2023-12-20 16:07:16	0.596	25.272	1.601	0.8006358600273621	997.5838700265178
2023-12-20 16:07:17	0.613	25.27	1.6	0.8001465028653033	997.5840978284126
2023-12-20 16:07:18	0.571	25.273	1.6	0.8000958235295819	997.5830901582008
2023-12-20 16:07:19	0.606	25.271	1.601	0.8006527964173281	997.5841879370006
2023-12-20 16:07:20	0.593	25.269	1.601	0.8006869354985706	997.5846753231099
2023-12-20 16:07:21	0.58	25.267	1.6	0.8001977884035045	997.5847681262619
2023-12-20 16:07:22	0.612	25.267	1.6	0.8001975321066156	997.5849120388357
2023-12-20 16:07:23	0.595	25.272	1.6	0.8001126359559021	997.5834710289768
2023-12-20 16:07:24	0.604	25.271	1.601	0.8006528124433921	997.5841789425737
2023-12-20 16:07:25	0.617	25.269	1.6	0.8001634772860523	997.5843887288568
2023-12-20 16:07:26	0.59	25.267	1.599	0.7996744403590873	997.5844185672187
2023-12-20 16:07:27	0.59	25.27	1.601	0.8006699417714659	997.5843889109393
2023-12-20 16:07:28	0.636	25.268	1.6	0.8001803321932353	997.5847470792813
2023-12-20 16:07:29	0.599	25.263	1.6	0.800265673275256	997.5859450592285
2023-12-20 16:07:30	0.608	25.261	1.6	0.8002996234316883	997.5865312242321
2023-12-20 16:07:31	0.64	25.266	1.601	0.8007376158366303	997.5857054028448
2023-12-20 16:07:32	0.592	25.262	1.6	0.8002827401724952	997.5861864268859
2023-12-20 16:07:33	0.618	25.26	1.6	0.8003165553732797	997.5868490289339
2023-12-20 16:07:34	0.609	25.26	1.601	0.8008399951677203	997.5872031640731
2023-12-20 16:07:35	0.628	25.26	1.601	0.8008398428401723	997.5872886135363
2023-12-20 16:07:36	0.604	25.259	1.6	0.8003336802260455	997.5870588883294
2023-12-20 16:07:37	0.945	25.255	1.599	0.7998756027373971	997.5892890582256
2023-12-20 16:07:38	1.275	25.245	1.599	0.8000430303634213	997.5935005505988
2023-12-20 16:07:39	1.475	25.229	1.597	0.7992663446910172	997.5979722940956
2023-12-20 16:07:40	1.742	25.2	1.594	0.7981855784964463	997.6058877003326
2023-12-20 16:07:41	1.94	25.144	1.592	0.7980868842611119	997.621219274258
2023-12-20 16:07:42	2.224	25.077	1.589	0.7976488822896116	997.6394947431953
2023-12-20 16:07:43	2.391	25.01	1.589	0.7987880099444367	997.6583905832011
2023-12-20 16:07:44	2.729	24.962	1.587	0.7985510940568724	997.6720917695657
2023-12-20 16:07:45	2.841	24.935	1.588	0.7995375488123161	997.6802818944032
2023-12-20 16:07:46	3.101	24.919	1.588	0.799808781127474	997.6857684571992
2023-12-20 16:07:47	3.312	24.91	1.587	0.7994338304587922	997.6887474811869
2023-12-20 16:07:48	3.462	24.903	1.587	0.7995522104292773	997.6913097321697
2023-12-20 16:07:49	3.768	24.883	1.586	0.7993642446216447	997.6976784972594
2023-12-20 16:07:50	4.062	24.865	1.586	0.7996695467986114	997.7038491052355
2023-12-20 16:07:51	4.286	24.865	1.586	0.7996677352537528	997.7048574980569
2023-12-20 16:07:52	4.675	24.858	1.585	0.7992566838887883	997.7080948303558
2023-12-20 16:07:53	4.97	24.846	1.585	0.7994594418073613	997.7126519365692
2023-12-20 16:07:54	5.227	24.844	1.585	0.7994915620921667	997.7143469851727
2023-12-20 16:07:55	5.501	24.834	1.585	0.7996603776572174	997.7182703020553
2023-12-20 16:07:56	5.71	24.826	1.585	0.7997955565146417	997.721362430007
2023-12-20 16:07:57	6.075	24.815	1.585	0.7999808624116251	997.7259627078423
2023-12-20 16:07:58	6.333	24.803	1.585	0.8001842338952405	997.7303489097685
2023-12-20 16:07:59	6.66	24.798	1.584	0.7997389503392748	997.7327657523326
2023-12-20 16:08:00	6.988	24.792	1.584	0.7998390063894006	997.735854069358
2023-12-20 16:08:01	7.308	24.793	1.585	0.8003476155396596	997.7374249329729
2023-12-20 16:08:02	7.592	24.785	1.584	0.799953971283267	997.7404532764097
2023-12-20 16:08:03	7.865	24.781	1.584	0.8000202628487723	997.7427564098414
2023-12-20 16:08:04	8.273	24.778	1.584	0.8000683397310255	997.7453987959349
2023-12-20 16:08:05	8.507	24.772	1.584	0.8001692277882845	997.7480629475165
