Now: 20/12/2023 15:40:44
Battery Level: 1.5V
MiniCTD: S/N 58934
Site info: 2023_SAMAO_19DIC
Calibrated: 22/02/2017
Latitude: 21.361392
Mode: M1
Tare: 9.2214
Pressure units: dBar
00.049	27.063	-0.019
00.049	27.052	-0.019
00.054	27.031	-0.019
00.058	26.994	-0.019
00.054	26.994	-0.018
00.056	27.000	-0.018
00.059	27.002	-0.019
00.059	27.004	-0.019
00.059	27.010	-0.019
00.056	27.014	-0.019
00.058	27.016	-0.019
00.058	27.022	-0.019
00.059	27.028	-0.018
00.057	27.022	-0.019
00.057	27.022	-0.019
00.057	27.023	-0.019
00.057	27.028	-0.018
00.058	27.041	-0.018
00.057	27.049	-0.019
00.057	27.044	-0.018
00.057	27.041	-0.019
00.057	27.041	-0.019
00.058	27.038	-0.019
00.059	27.037	-0.018
00.058	27.038	-0.018
00.057	27.037	-0.018
00.057	27.033	-0.018
00.058	27.026	-0.018
00.059	27.017	-0.019
00.056	27.010	-0.018
00.058	27.008	-0.019
00.058	27.006	-0.018
00.057	27.010	-0.019
00.058	27.019	-0.019
00.058	27.024	-0.018
00.057	27.026	-0.019
00.059	27.027	-0.019
00.056	27.029	-0.019
00.057	27.034	-0.018
00.058	27.037	-0.019
00.051	27.033	-0.018
00.050	26.983	-0.018
00.052	26.967	-0.019
00.049	26.978	-0.019
00.050	26.992	-0.019
00.051	27.006	-0.018
00.051	27.014	-0.019
00.052	27.025	-0.019
00.052	27.034	-0.019
00.052	27.040	-0.019
00.051	27.047	-0.019
00.051	27.048	-0.019
00.052	27.051	-0.018
00.051	27.054	-0.019
00.053	27.059	-0.018
00.050	27.058	-0.018
00.051	27.058	-0.019
00.052	27.059	-0.019
00.052	27.064	-0.019
00.052	27.067	-0.018
00.052	27.066	-0.018
00.052	27.061	-0.018
00.051	27.063	-0.019
00.051	27.069	-0.019
00.052	27.069	-0.019
00.052	27.069	-0.019
00.052	27.071	-0.018
00.051	27.068	-0.019
00.054	27.066	-0.018
00.050	27.062	-0.018
00.053	27.050	-0.019
00.053	27.049	-0.018
00.052	27.053	-0.018
00.052	27.055	-0.018
00.051	27.059	-0.019
00.052	27.059	-0.019
00.052	27.060	-0.019
00.051	27.059	-0.019
00.051	27.059	-0.017
00.053	27.062	-0.019
00.051	27.062	-0.019
00.051	27.062	-0.019
00.052	27.065	-0.018
00.052	27.067	-0.019
00.052	27.063	-0.018
00.052	27.059	-0.019
00.052	27.056	-0.019
00.050	27.048	-0.018
00.049	27.045	-0.019
00.052	27.043	-0.018
00.053	27.036	-0.018
00.049	27.029	-0.018
00.051	27.027	-0.018
